date,open,high,low,close,volume,quote_volume,taker_buy_quote_volume
2025-05-30 10:00:00,33.387,33.863,33.232,33.421,139406.09,4673670.25192,2280649.42489
2025-05-30 11:00:00,33.427,33.492,32.584,32.987,192499.31,6341189.33065,3225235.88826
2025-05-30 12:00:00,32.988,33.573,32.634,33.379,316007.87,10475515.41778,5019483.10047
2025-05-30 13:00:00,33.38,33.673,32.365,32.378,257858.77,8495876.61097,4223581.79555
2025-05-30 14:00:00,32.378,32.609,31.369,31.789,327790.06,10443919.19916,5122153.71921
2025-05-30 15:00:00,31.788,32.785,31.695,32.514,312790.55,10122358.05139,6049355.06352
2025-05-30 16:00:00,32.518,32.84,31.713,32.4,471241.93,15224761.8163,8028552.09429
2025-05-30 17:00:00,32.408,33.213,32.248,33.099,329543.46,10818971.87612,5235096.38899
2025-05-30 18:00:00,33.098,34.212,33.057,34.201,367784.58,12399787.47364,6901971.38766
2025-05-30 19:00:00,34.202,34.348,33.363,33.386,337166.67,11466982.39985,5306875.09417
2025-05-30 20:00:00,33.386,33.817,33.115,33.13,226862.05,7586913.98877,3738200.8641
2025-05-30 21:00:00,33.13,33.782,33.018,33.538,157924.23,5281203.29871,3189537.09589
2025-05-30 22:00:00,33.542,33.661,32.127,32.289,218774.03,7216493.71231,3154396.19439
2025-05-30 23:00:00,32.293,32.84,31.998,32.816,210576.97,6823227.18152,3595746.11386
2025-05-31 00:00:00,32.83,33.663,32.764,32.98,384810.57,12772164.33298,6668029.17509
2025-05-31 01:00:00,32.991,33.08,32.102,32.102,329275.54,10743912.31336,5115448.36016
2025-05-31 02:00:00,32.105,32.2,30.931,31.02,381653.71,12074044.67,5610334.1968
2025-05-31 03:00:00,31.023,31.777,30.885,31.67,276989.2,8667318.1697,4997402.02512
2025-05-31 04:00:00,31.67,32.217,31.101,31.896,227052.17,7204553.16286,3929999.67177
2025-05-31 05:00:00,31.891,32.1,31.376,31.389,210270.99,6659801.41225,3169109.83864
2025-05-31 06:00:00,31.39,32.019,31.357,31.939,149286.42,4734999.18254,2582452.47389
2025-05-31 07:00:00,31.938,31.994,31.015,31.514,239518.28,7516937.17793,3921799.78318
2025-05-31 08:00:00,31.514,31.716,31.099,31.145,213142.11,6694683.21851,3190867.24067
2025-05-31 09:00:00,31.14,31.521,30.931,31.04,173336.14,5401429.21447,2642199.28448
2025-05-31 10:00:00,31.046,31.324,30.724,31.317,165431.91,5135767.5859,2345577.3921
2025-05-31 11:00:00,31.321,31.656,31.181,31.382,134912.36,4241902.81453,2226069.1546
2025-05-31 12:00:00,31.382,32.412,31.362,32.386,265313.33,8481426.68436,4646852.40333
2025-05-31 13:00:00,32.385,32.905,32.334,32.698,317740.22,10364288.58823,5424973.82568
2025-05-31 14:00:00,32.697,32.977,32.239,32.838,301034.18,9833836.27776,5139866.4003
2025-05-31 15:00:00,32.837,33.241,32.473,32.663,423256.5,13922969.61594,6153390.8305
2025-05-31 16:00:00,32.662,33.17,32.541,32.916,219456.82,7221081.9005,3480082.21562
2025-05-31 17:00:00,32.916,32.931,32.421,32.507,155846.49,5085736.70643,2605823.78351
2025-05-31 18:00:00,32.511,32.907,32.401,32.903,102519.36,3351996.67643,1576019.67399
2025-05-31 19:00:00,32.904,33.131,32.744,32.913,123245.64,4060381.02214,1909365.01762
2025-05-31 20:00:00,32.91,33.005,32.711,32.78,65760.87,2162509.61431,1063562.91562
2025-05-31 21:00:00,32.777,33.391,32.77,33.263,161406.02,5343080.08456,2873247.01385
2025-05-31 22:00:00,33.264,33.411,33.003,33.026,83608.7,2778118.30981,1419988.78985
2025-05-31 23:00:00,33.023,33.169,32.653,32.671,107938.05,3549108.95704,1531172.04142
2025-06-01 00:00:00,32.671,32.91,32.522,32.646,108105.4,3534757.02576,1858196.27778
2025-06-01 01:00:00,32.641,32.859,32.281,32.417,104979.7,3413859.61116,1796564.04053
2025-06-01 02:00:00,32.417,32.667,32.157,32.592,89243.78,2891359.15197,1510672.51202
2025-06-01 03:00:00,32.592,32.709,32.178,32.578,109792.65,3553869.22803,2069925.72475
2025-06-01 04:00:00,32.577,33.088,32.383,33.02,115904.67,3805438.34626,2027442.81444
2025-06-01 05:00:00,33.027,33.4,32.865,33.09,163063.64,5409850.51513,2530349.95869
2025-06-01 06:00:00,33.089,33.245,32.506,32.563,143637.41,4707814.83703,2238681.42933
2025-06-01 07:00:00,32.567,32.629,32.244,32.487,102470.83,3320010.99076,1504047.48174
2025-06-01 08:00:00,32.487,32.517,32.129,32.426,99680.58,3220319.77437,1814504.24369
2025-06-01 09:00:00,32.425,32.506,31.803,32.007,190316.0,6103334.57665,2859680.87077
2025-06-01 10:00:00,32.009,32.109,31.632,31.79,158212.41,5037104.79983,2211234.26925
2025-06-01 11:00:00,31.782,32.151,31.631,31.845,146425.28,4670556.75743,2278044.72331
2025-06-01 12:00:00,31.843,31.986,31.505,31.756,131736.94,4175035.22828,2090898.51954
2025-06-01 13:00:00,31.754,32.148,31.671,31.885,121232.07,3873587.45585,2116776.04688
2025-06-01 14:00:00,31.89,32.369,31.89,32.031,177404.47,5703756.39596,3021045.32966
2025-06-01 15:00:00,32.031,32.462,31.843,32.445,130746.9,4212042.76379,2443266.69824
2025-06-01 16:00:00,32.443,33.313,32.351,32.944,244199.02,8036722.36196,4697971.32329
2025-06-01 17:00:00,32.946,33.15,32.755,33.114,95212.63,3135519.26661,1366828.20624
2025-06-01 18:00:00,33.112,33.22,32.55,32.922,133197.85,4375094.08507,2185054.8861
2025-06-01 19:00:00,32.922,33.359,32.723,33.346,85926.06,2839950.48443,1731846.50771
2025-06-01 20:00:00,33.347,33.851,33.2,33.41,162017.92,5438685.7688,2766784.01774
2025-06-01 21:00:00,33.417,34.119,33.317,34.062,160370.73,5407976.55601,3237759.3846
2025-06-01 22:00:00,34.061,34.158,33.663,33.923,138513.65,4704802.51972,2103157.15665
2025-06-01 23:00:00,33.919,34.279,33.866,34.152,93640.86,3196241.1151,1784020.56485
2025-06-02 00:00:00,34.156,34.347,33.73,33.798,158366.65,5384715.06031,2105471.74613
2025-06-02 01:00:00,33.802,33.999,33.654,33.698,74086.08,2504807.64021,1183202.47651
2025-06-02 02:00:00,33.698,33.75,33.416,33.47,105867.75,3556381.3488,1667114.40341
2025-06-02 03:00:00,33.471,33.739,33.231,33.495,104076.27,3483797.59597,1829676.56682
2025-06-02 04:00:00,33.493,33.604,33.248,33.3,63227.47,2113130.02052,968824.20551
2025-06-02 05:00:00,33.3,33.385,32.61,32.922,183502.47,6045964.69741,2691925.36393
2025-06-02 06:00:00,32.92,33.416,32.743,33.274,100987.35,3344405.6505,2079684.13876
2025-06-02 07:00:00,33.273,33.779,33.244,33.622,162205.86,5435124.44461,2836857.6992
2025-06-02 08:00:00,33.622,34.13,33.235,33.27,255772.38,8616912.14033,4084675.28243
2025-06-02 09:00:00,33.276,33.286,32.687,32.794,249049.3,8196888.89554,3668211.34014
2025-06-02 10:00:00,32.795,33.04,32.588,32.637,118690.87,3888504.04731,1813430.59701
2025-06-02 11:00:00,32.638,32.844,32.483,32.664,101900.85,3327366.23251,1755841.21259
2025-06-02 12:00:00,32.661,33.096,32.565,33.027,133242.79,4378091.59807,2616894.9517
2025-06-02 13:00:00,33.027,33.359,32.417,32.622,236833.39,7782131.33436,3518919.05495
2025-06-02 14:00:00,32.618,33.499,32.47,33.201,243703.65,8053603.62965,4300121.46549
