feature,ic_fwd1,p_fwd1,n_fwd1,ic_fwd3,p_fwd3,n_fwd3,ic_fwd7,p_fwd7,n_fwd7,fdr10_fwd1,fdr10_fwd3,fdr10_fwd7
ret1,-0.0255,0.6033,416,-0.0168,0.7328,414,-0.047,0.3424,410,False,False,False
ret3,-0.0257,0.6027,414,-0.0504,0.3077,412,-0.0854,0.0849,408,False,False,False
ret7,-0.0487,0.3253,410,-0.1049,0.0341,408,-0.1669,0.0008,404,False,False,True
rsi14,-0.0963,0.0535,403,-0.1692,0.0007,401,-0.1992,0.0001,397,False,True,True
dist_20d_high,-0.0716,0.1537,398,-0.1154,0.0216,396,-0.1344,0.0077,392,False,False,True
drawdown_ath,-0.0272,0.5793,417,-0.0545,0.2676,415,-0.0787,0.111,411,False,False,False
range_pct,0.0342,0.4859,417,0.048,0.3289,415,0.0132,0.7901,411,False,False,False
vol_spike,0.004,0.9356,404,0.0101,0.8399,402,-0.0439,0.3824,398,False,False,False
spot_vol_spike,0.0588,0.2756,346,0.078,0.1477,346,0.0363,0.5009,346,False,False,False
taker_buy_ratio,0.073,0.1365,417,0.0421,0.3926,415,0.0254,0.6077,411,False,False,False
funding_sum,-0.0664,0.1869,397,-0.1044,0.0376,397,-0.2086,0.0,397,False,False,True
funding_chg,-0.0727,0.1489,396,0.0526,0.296,396,-0.0331,0.5109,396,False,False,False
oi_chg1,-0.0105,0.8304,416,0.0057,0.9075,414,0.0137,0.7819,410,False,False,False
oi_chg3,0.0156,0.7513,414,0.005,0.9186,412,0.0072,0.8843,408,False,False,False
top_ls_pos,-0.013,0.792,417,-0.0213,0.6653,415,-0.0709,0.1515,411,False,False,False
top_ls_pos_chg,-0.0239,0.6271,416,0.0249,0.6129,414,0.0178,0.72,410,False,False,False
global_ls,-0.0617,0.2088,417,-0.0815,0.0974,415,-0.0846,0.0868,411,False,False,False
taker_ls_vol,0.0725,0.1396,417,0.0636,0.1963,415,0.0711,0.1502,411,False,False,False
btc_ret1,-0.0046,0.925,416,-0.0304,0.538,414,-0.0139,0.7788,410,False,False,False
btc_ret3,-0.0258,0.601,414,-0.0194,0.6949,412,-0.0395,0.4265,408,False,False,False
eth_ret1,-0.0215,0.6623,416,-0.0746,0.1298,414,-0.0283,0.5678,410,False,False,False
eth_ret3,-0.0751,0.1269,414,-0.0651,0.1874,412,-0.0887,0.0733,408,False,False,False
sol_ret1,0.0003,0.9947,416,-0.0456,0.3551,414,-0.0131,0.7911,410,False,False,False
sol_ret3,-0.0623,0.2055,414,-0.0567,0.2508,412,-0.0584,0.2394,408,False,False,False
ethbtc_ret3,-0.1085,0.0273,414,-0.137,0.0053,412,-0.1511,0.0022,408,False,True,True
hype_vs_btc_7d,-0.069,0.1634,410,-0.1014,0.0406,408,-0.113,0.0231,404,False,False,True
vix,0.0421,0.3909,417,0.0806,0.1011,415,0.188,0.0001,411,False,False,True
vix_chg1,0.0232,0.6367,416,-0.0241,0.6249,414,-0.051,0.3027,410,False,False,False
vix_chg5,-0.115,0.0196,412,-0.162,0.001,410,-0.0732,0.1411,406,False,True,False
btc_netflow_z,-0.0166,0.7632,330,0.0645,0.2426,330,0.0634,0.2511,330,False,False,False
eth_netflow_z,0.021,0.7041,330,0.0588,0.2872,330,0.0811,0.1415,330,False,False,False
btc_mvrv,-0.0515,0.3309,359,-0.0917,0.0827,359,-0.1428,0.0067,359,False,False,True
btc_adract_chg7,0.0417,0.4352,352,0.0502,0.3481,352,-0.0881,0.099,352,False,False,False
