entry_ts,trigger,entry_px,mfe_24h,mae_24h,ret_24h,mfe_48h,mae_48h,ret_48h,mfe_72h,mae_72h,ret_72h,mfe_120h,mae_120h,ret_120h,h_to_+5%,h_to_-5%
2025-06-01,fund_flip,32.671,0.0492,-0.0357,0.0453,0.1221,-0.0357,0.1164,0.1704,-0.0357,0.1047,0.1704,-0.0357,0.0414,24.0,
2025-06-21,dip,33.388,0.0576,-0.0741,0.0309,0.0802,-0.0741,0.0709,0.1527,-0.0741,0.1434,0.171,-0.0741,0.1087,8.0,21.0
2025-06-26,vix_drop,37.017,0.0294,-0.0346,-0.0328,0.0294,-0.0451,-0.0107,0.0294,-0.0451,0.0211,0.1149,-0.0451,0.0684,83.0,
2025-07-09,fund_flip,38.803,0.0579,-0.0019,0.0482,0.1364,-0.0019,0.1291,0.2097,-0.0019,0.1953,0.2707,-0.0019,0.2615,19.0,
2025-07-27,vix_drop,43.365,0.0223,-0.0222,0.0065,0.063,-0.0222,0.0087,0.063,-0.0222,0.0028,0.063,-0.0628,-0.0585,37.0,91.0
2025-08-02,fund_flip,37.615,0.0296,-0.0564,-0.0191,0.0448,-0.0564,0.015,0.0491,-0.0564,0.0316,0.0599,-0.0564,0.0123,82.0,18.0
2025-08-07,vix_drop,38.077,0.0763,-0.0131,0.0741,0.0966,-0.0131,0.0766,0.175,-0.0131,0.1468,0.2291,-0.0131,0.1337,20.0,
2025-08-13,vix_drop,44.726,0.0737,-0.0385,0.065,0.0929,-0.0385,0.016,0.1082,-0.0385,0.0686,0.1082,-0.0385,0.0294,13.0,
2025-08-27,vix_drop,48.796,0.0504,-0.0398,-0.036,0.0504,-0.0663,-0.0653,0.0504,-0.1123,-0.0894,0.0504,-0.1133,-0.0925,4.0,41.0
2025-09-08,vix_drop,47.112,0.1032,-0.003,0.0804,0.1751,-0.003,0.1317,0.1912,-0.003,0.1779,0.2205,-0.003,0.1728,5.0,
2025-09-24,dip,44.672,0.048,-0.0313,0.0218,0.048,-0.1109,-0.0953,0.048,-0.1109,0.0035,0.0595,-0.1109,0.0559,116.0,30.0
2025-10-11,dip,37.735,0.0863,-0.0675,-0.024,0.0863,-0.0675,0.05,0.1561,-0.0675,0.1243,0.1561,-0.0675,-0.0098,5.0,20.0
2025-10-16,dip,37.362,0.0561,-0.0291,-0.0152,0.0561,-0.1093,-0.0509,0.0561,-0.1093,-0.0134,0.0592,-0.1093,0.0154,12.0,30.0
2025-10-21,vix_drop,37.936,0.0112,-0.0735,-0.0683,0.0112,-0.0918,-0.0449,0.0754,-0.0918,0.0596,0.1772,-0.0918,0.1655,60.0,5.0
2025-10-26,vix_drop,44.214,0.0993,-0.0159,0.0697,0.1196,-0.0159,0.0522,0.1196,-0.0159,0.0779,0.1362,-0.0349,0.0266,9.0,
2025-11-05,dip,39.014,0.0827,-0.0388,0.0601,0.0827,-0.0388,-0.0132,0.1121,-0.0388,0.0828,0.1121,-0.0388,0.0717,6.0,
2025-11-12,vix_drop,38.683,0.0563,-0.0319,-0.0085,0.0563,-0.0538,-0.004,0.0563,-0.0694,-0.0308,0.0563,-0.0694,0.0004,11.0,42.0
2025-11-23,dip,29.977,0.0889,-0.0121,0.0629,0.1562,-0.0121,0.1251,0.1562,-0.0121,0.1248,0.2188,-0.0121,0.1583,1.0,
2025-11-28,fund_flip+vix_drop,34.723,0.0601,-0.0275,0.0058,0.0601,-0.0275,-0.0113,0.0601,-0.0834,-0.0803,0.0601,-0.1609,-0.0252,14.0,59.0
2025-12-07,vix_drop,30.946,0.0094,-0.0915,-0.0396,0.0094,-0.0915,-0.0472,0.0094,-0.1136,-0.0986,0.0094,-0.132,-0.0587,,9.0
2025-12-18,dip,24.472,0.0333,-0.0847,-0.0823,0.0333,-0.0935,0.0159,0.0441,-0.0935,-0.0196,0.0501,-0.0935,0.0163,104.0,18.0
2025-12-23,vix_drop,24.872,0.0051,-0.0497,-0.0368,0.015,-0.0507,0.0114,0.015,-0.0507,-0.0196,0.0634,-0.0507,0.0438,98.0,32.0
2026-01-11,fund_flip,24.038,0.0261,-0.0021,0.0164,0.0571,-0.0387,-0.012,0.075,-0.0387,0.0712,0.1184,-0.0387,0.0285,26.0,
